Tanggal,Temp_rata-rata,Kelembapan_rata-rata,Curah_hujan,Lamanya_penyinaran_matahari,Kecepatan_angin_rata-rata
7/1/2023,25.6,90,18.6,6.0,3
8/1/2023,26.2,87,18.6,6.0,3
9/1/2023,26.2,87,18.6,6.0,3
10/1/2023,26.2,87,18.6,6.0,3
11/1/2023,27.0,78,18.6,6.0,2
12/1/2023,27.0,78,18.6,6.0,2
13-01-2023,27.0,78,18.6,6.0,2
14-01-2023,27.0,78,18.6,6.0,2
15-01-2023,27.0,78,18.6,6.0,2
16-01-2023,27.0,78,18.6,6.0,2
17-01-2023,27.0,78,18.6,6.0,2
18-01-2023,27.0,78,18.6,6.0,2
19-01-2023,27.0,78,18.6,6.0,2
20-01-2023,27.0,78,18.6,6.0,2
21-01-2023,27.0,78,18.6,6.0,2
22-01-2023,27.0,78,18.6,6.0,2
23-01-2023,27.0,78,18.6,6.0,2
24-01-2023,27.0,78,18.6,6.0,2
25-01-2023,27.0,78,18.6,6.0,2
26-01-2023,27.0,78,18.6,6.0,2
27-01-2023,27.0,78,18.6,6.0,2
28-01-2023,27.0,78,18.6,6.0,2
30-01-2023,26.9,82,10.0,0.1,2
31-01-2023,26.2,91,10.0,0.2,2
1/2/2023,26.2,91,10.0,0.2,2
2/2/2023,26.2,91,10.0,0.2,2
3/2/2023,26.2,91,10.0,0.2,2
4/2/2023,26.2,91,10.0,0.2,2
5/2/2023,26.2,91,10.0,0.2,2
6/2/2023,26.2,91,10.0,0.2,2
7/2/2023,26.2,91,10.0,0.2,2
8/2/2023,26.2,91,10.0,0.2,2
9/2/2023,26.2,91,10.0,0.2,2
10/2/2023,26.2,91,10.0,0.2,2
11/2/2023,26.2,91,10.0,0.2,2
12/2/2023,26.2,91,10.0,0.2,2
13-02-2023,26.2,91,10.0,0.2,2
14-02-2023,26.2,91,10.0,0.2,2
15-02-2023,26.2,91,10.0,0.2,2
16-02-2023,26.2,91,10.0,0.2,2
17-02-2023,26.2,91,10.0,0.2,2
18-02-2023,26.2,91,10.0,0.2,2
19-02-2023,26.2,91,10.0,0.2,2
20-02-2023,26.2,91,10.0,0.2,2
21-02-2023,26.2,91,10.0,0.2,2
22-02-2023,26.2,91,10.0,0.2,2
23-02-2023,26.2,91,10.0,0.2,2
24-02-2023,26.2,91,10.0,0.2,2
25-02-2023,26.2,91,10.0,0.2,2
28-02-2023,26.1,89,1.7,0.6,3
1/3/2023,26.1,89,1.7,0.6,4
2/3/2023,26.1,89,1.7,0.6,4
3/3/2023,26.1,89,1.7,0.6,4
4/3/2023,26.1,89,1.7,0.6,4
5/3/2023,26.1,89,1.7,0.6,4
6/3/2023,26.1,89,1.7,0.6,4
7/3/2023,26.1,89,1.7,0.6,4
8/3/2023,26.1,89,1.7,0.6,4
9/3/2023,26.1,89,1.7,0.6,4
10/3/2023,26.1,89,1.7,0.6,4
11/3/2023,26.1,89,1.7,0.6,4
12/3/2023,26.1,89,1.7,0.6,4
13-03-2023,26.1,89,1.7,0.6,4
14-03-2023,26.1,89,1.7,0.6,4
15-03-2023,26.1,89,1.7,0.6,4
16-03-2023,26.1,89,1.7,0.6,4
17-03-2023,26.1,89,1.7,0.6,4
18-03-2023,26.1,89,1.7,0.6,4
19-03-2023,26.1,89,1.7,0.6,4
20-03-2023,26.1,89,1.7,0.6,4
21-03-2023,26.1,89,1.7,0.6,4
22-03-2023,26.1,89,1.7,0.6,4
23-03-2023,26.1,89,1.7,0.6,4
24-03-2023,26.1,89,1.7,0.6,4
25-03-2023,26.1,89,1.7,0.6,4
26-03-2023,26.1,89,1.7,0.6,4
27-03-2023,26.1,89,1.7,0.6,4
28-03-2023,26.1,89,1.7,0.6,4
29-03-2023,26.1,89,1.7,0.6,4
30-03-2023,26.1,89,1.7,0.6,4
2/4/2023,27.4,86,11.7,0.6,2
13-04-2023,27.6,80,7.0,5.9,4
14-04-2023,27.6,80,7.0,5.9,4
27-04-2023,27.2,85,6.0,3.5,1
28-04-2023,26.5,94,30.5,2.7,1
29-04-2023,27.6,84,4.5,2.7,2
10/5/2023,28.8,84,0.5,3.9,2
11/5/2023,28.8,84,0.5,3.9,2
13-05-2023,27.6,87,0.4,4.5,2
14-05-2023,27.3,77,25.5,4.0,1
20-05-2023,28.2,83,0.8,3.2,1
22-05-2023,27.8,79,16.8,3.2,1
23-05-2023,28.2,78,0.7,3.2,1
30-05-2023,27.2,81,9.3,3.2,1
31-05-2023,28.0,75,5.2,3.2,1
6/6/2023,26.3,91,12.5,2.8,2
7/6/2023,26.3,83,17.5,0.5,1
8/6/2023,27.9,82,13.0,1.6,2
13-06-2023,26.2,85,7.5,0.1,2
14-06-2023,25.2,89,63.0,1.0,2
16-06-2023,24.2,97,49.0,5.1,1
19-06-2023,26.3,89,3.7,0.8,2
22-06-2023,28.3,80,8.7,4.0,1
28-06-2023,27.2,80,33.9,5.5,2
29-06-2023,27.2,80,0.4,5.5,2
12/7/2023,27.8,80,0.8,5.6,1
13-07-2023,27.8,80,0.8,5.6,1
14-07-2023,27.8,80,0.8,5.6,1
15-07-2023,27.8,80,0.8,5.6,1
3/8/2023,27.3,84,72.0,5.0,2
4/8/2023,27.8,79,6.7,5.0,1
20-09-2023,28.8,78,28.9,0.9,2
21-09-2023,29.2,76,28.9,6.6,2
22-09-2023,28.9,76,1.5,7.5,2
23-09-2023,28.0,75,1.5,10.5,2
24-09-2023,29.2,76,1.5,2.8,1
25-09-2023,29.9,72,1.5,6.4,2
26-09-2023,29.7,70,1.5,9.5,2
27-09-2023,29.4,65,1.5,9.2,3
28-09-2023,29.7,65,1.5,10.0,3
29-09-2023,30.3,66,1.5,9.9,3
30-09-2023,29.0,76,1.5,10.0,2
1/10/2023,29.1,76,1.5,9.6,2
