Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2023,23.5,32.2,26.4,90,55.1,0,4,300,2,SW
2/1/2023,23.5,32.2,26.4,90,55.1,0,4,300,2,SW
3/1/2023,23.5,32.2,26.4,90,55.1,0,4,300,2,SW
4/1/2023,23.1,30.6,26,92,4.1,0,4,250,2,W 
5/1/2023,23,31.6,25.6,90,18.6,0,6,260,3,W 
6/1/2023,23,31.6,25.6,90,18.6,0,6,260,3,W 
7/1/2023,24,31.6,25.6,90,18.6,6,6,260,3,SW
8/1/2023,24.2,30.8,26.2,87,18.6,6,8,270,3,W 
9/1/2023,24.2,30.8,26.2,87,18.6,6,8,270,3,W 
10/1/2023,24.2,30.8,26.2,87,18.6,6,8,270,3,W 
11/1/2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
12/1/2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
13-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
14-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
15-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
16-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
17-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
18-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
19-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
20-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
21-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
22-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
23-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
24-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
25-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
26-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
27-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
28-01-2023,22.2,33.4,27,78,18.6,6,5,280,2,W 
29-01-2023,24.1,29.9,26.9,84,10,0,5,330,2,NW
30-01-2023,23.5,31.4,26.9,82,10,0.1,5,310,2,NW
31-01-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
1/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
2/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
3/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
4/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
5/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
6/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
7/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
8/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
9/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
10/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
11/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
12/2/2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
13-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
14-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
15-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
16-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
17-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
18-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
19-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
20-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
21-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
22-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
23-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
24-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
25-02-2023,24.2,30.8,26.2,91,10,0.2,4,310,2,NW
26-02-2023,23.6,30.4,26.1,90,15.2,0,6,340,2,N 
27-02-2023,23.4,30.2,25.8,89,35.1,0,6,310,3,NW
28-02-2023,23.7,30.7,26.1,89,1.7,0.6,5,240,3,SW
1/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
2/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
3/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
4/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
5/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
6/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
7/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
8/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
9/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
10/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
11/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
12/3/2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
13-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
14-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
15-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
16-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
17-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
18-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
19-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
20-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
21-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
22-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
23-03-2023,23.7,30.7,26.1,89,1.7,0.6,5,270,4,W 
